Entity,Code,Year,Deforestation
Africa,,1990,4096000
Africa,,2000,4314000
Africa,,2010,4444000
Africa,,2015,4414000
Algeria,DZA,1990,14800
Algeria,DZA,2000,14500
Algeria,DZA,2010,1400
Algeria,DZA,2015,5400
Argentina,ARG,1990,213600
Argentina,ARG,2000,327400
Argentina,ARG,2010,242400
Argentina,ARG,2015,134800
Aruba,ABW,1990,0
Aruba,ABW,2000,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Asia,,1990,4170000
Asia,,2000,2684000
Asia,,2010,2925000
Asia,,2015,2235000
Australia,AUS,1990,626200
Australia,AUS,2000,632300
Australia,AUS,2010,416840
Austria,AUT,1990,3450
Austria,AUT,2000,7790
Austria,AUT,2010,5800
Austria,AUT,2015,5810
Azerbaijan,AZE,2010,81640
Azerbaijan,AZE,2015,86360
Bahrain,BHR,1990,10
Bahrain,BHR,2000,10
Bahrain,BHR,2010,0
Bahrain,BHR,2015,0
Bangladesh,BGD,1990,7500
Bangladesh,BGD,2000,3200
Bangladesh,BGD,2010,18190
Bangladesh,BGD,2015,0
Belarus,BLR,2000,7200
Belarus,BLR,2010,4100
Belarus,BLR,2015,3500
Belgium,BEL,2010,1810
Belgium,BEL,2015,1500
Belize,BLZ,1990,14070
Belize,BLZ,2000,6790
Belize,BLZ,2010,11710
Belize,BLZ,2015,11160
Bhutan,BTN,1990,0
Bhutan,BTN,2000,190
Bhutan,BTN,2010,340
Bhutan,BTN,2015,430
Bolivia,BOL,1990,270330
Bolivia,BOL,2000,200050
Bolivia,BOL,2010,190690
Bolivia,BOL,2015,242540
Brazil,BRA,1990,4254800
Brazil,BRA,2000,5129300
Brazil,BRA,2010,1867800
Brazil,BRA,2015,1695700
Bulgaria,BGR,1990,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2015,0
Burundi,BDI,1990,8250
Burundi,BDI,2000,0
Burundi,BDI,2010,0
Burundi,BDI,2015,0
Cameroon,CMR,1990,90550
Cameroon,CMR,2000,71700
Cameroon,CMR,2010,58000
Cameroon,CMR,2015,58000
Canada,CAN,1990,54420
Canada,CAN,2000,50450
Canada,CAN,2010,41300
Canada,CAN,2015,37520
Cape Verde,CPV,2000,2840
Cape Verde,CPV,2010,1900
Cape Verde,CPV,2015,820
Cayman Islands,CYM,1990,20
Cayman Islands,CYM,2000,20
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Central African Republic,CAF,1990,30000
Central African Republic,CAF,2000,30000
Central African Republic,CAF,2010,30000
Central African Republic,CAF,2015,30000
Chile,CHL,1990,10110
Chile,CHL,2000,14210
Chile,CHL,2010,11270
Chile,CHL,2015,9400
China,CHN,1990,327540
China,CHN,2000,312760
China,CHN,2010,329970
China,CHN,2015,133200
Colombia,COL,1990,229130
Colombia,COL,2000,214330
Colombia,COL,2010,143170
Colombia,COL,2015,199230
Congo,COG,1990,12000
Congo,COG,2000,12000
Congo,COG,2010,12000
Congo,COG,2015,13800
Costa Rica,CRI,1990,9790
Costa Rica,CRI,2000,2650
Costa Rica,CRI,2010,0
Costa Rica,CRI,2015,0
Croatia,HRV,2000,330
Croatia,HRV,2010,90
Croatia,HRV,2015,50
Cuba,CUB,1990,0
Cuba,CUB,2000,0
Cuba,CUB,2010,0
Cuba,CUB,2015,0
Denmark,DNK,1990,30
Denmark,DNK,2000,180
Denmark,DNK,2010,260
