Year,CO2,CH4,N2O,CFC,HCFCs,HFCs,Total,ppm,1990 = 1,change
1979,1.025,0.5,0.088,0.175,0.008,0.001,1.798,388,0.787,2
1980,1.058,0.509,0.088,0.185,0.009,0.001,1.85,392,0.81,2.3
1981,1.076,0.517,0.091,0.195,0.01,0.001,1.89,395,0.827,1.8
1982,1.088,0.525,0.095,0.205,0.011,0.001,1.924,397,0.842,1.5
1983,1.114,0.528,0.097,0.215,0.012,0.001,1.967,400,0.861,1.9
1984,1.138,0.532,0.1,0.225,0.013,0.002,2.009,403,0.879,1.8
1985,1.161,0.538,0.101,0.236,0.014,0.002,2.051,407,0.898,1.8
1986,1.182,0.544,0.105,0.247,0.015,0.002,2.095,410,0.917,1.9
1987,1.208,0.55,0.104,0.26,0.016,0.002,2.14,413,0.937,2
1988,1.247,0.555,0.106,0.275,0.017,0.002,2.201,418,0.963,2.7
1989,1.271,0.56,0.11,0.287,0.018,0.003,2.248,422,0.984,2
1990,1.29,0.564,0.112,0.296,0.02,0.003,2.285,425,1,1.6
1991,1.31,0.569,0.114,0.304,0.021,0.003,2.321,428,1.016,1.6
1992,1.321,0.574,0.116,0.311,0.022,0.003,2.348,430,1.027,1.2
1993,1.332,0.574,0.117,0.314,0.024,0.004,2.364,431,1.034,0.7
1994,1.354,0.577,0.119,0.315,0.025,0.004,2.394,434,1.048,1.3
1995,1.381,0.58,0.119,0.317,0.027,0.005,2.428,436,1.063,1.5
1996,1.408,0.581,0.122,0.317,0.028,0.005,2.461,439,1.077,1.5
1997,1.424,0.582,0.125,0.317,0.03,0.006,2.484,441,1.087,1
1998,1.462,0.587,0.127,0.317,0.031,0.007,2.531,445,1.108,2.1
1999,1.493,0.59,0.129,0.317,0.033,0.008,2.57,448,1.125,1.7
2000,1.511,0.591,0.133,0.316,0.035,0.008,2.593,450,1.135,1
2001,1.533,0.59,0.135,0.315,0.036,0.01,2.619,452,1.146,1.1
2002,1.562,0.59,0.137,0.314,0.038,0.011,2.652,455,1.161,1.5
2003,1.599,0.592,0.139,0.312,0.039,0.012,2.694,459,1.179,1.8
2004,1.625,0.592,0.141,0.311,0.04,0.013,2.723,461,1.192,1.3
2005,1.654,0.591,0.143,0.309,0.042,0.015,2.753,464,1.205,1.3
2006,1.684,0.591,0.146,0.308,0.043,0.016,2.789,467,1.22,1.5
2007,1.709,0.594,0.148,0.306,0.045,0.018,2.82,469,1.234,1.4
2008,1.739,0.597,0.151,0.304,0.048,0.019,2.857,473,1.25,1.6
2009,1.759,0.599,0.153,0.302,0.049,0.021,2.884,475,1.262,1.2
2010,1.791,0.602,0.156,0.299,0.051,0.023,2.921,478,1.278,1.6
2011,1.816,0.604,0.159,0.297,0.053,0.024,2.954,481,1.293,1.4
2012,1.845,0.606,0.161,0.295,0.054,0.026,2.987,484,1.307,1.5
2013,1.882,0.608,0.164,0.293,0.056,0.028,3.031,488,1.326,1.9
2014,1.908,0.612,0.168,0.291,0.057,0.03,3.066,492,1.342,1.5
2015,1.939,0.617,0.171,0.289,0.058,0.032,3.107,495,1.359,1.8
2016,1.986,0.621,0.173,0.288,0.059,0.034,3.161,500,1.383,2.4
2017,2.014,0.624,0.175,0.286,0.06,0.037,3.195,504,1.398,1.5
2018,2.046,0.627,0.179,0.284,0.06,0.039,3.235,507,1.416,1.7
2019,2.079,0.631,0.182,0.282,0.061,0.041,3.275,511,1.433,1.7
2020,2.11,0.636,0.185,0.279,0.061,0.044,3.316,515,1.451,1.8
2021,2.14,0.643,0.189,0.276,0.061,0.046,3.356,519,1.469,1.8
2022,2.17,0.65,0.193,0.274,0.061,0.049,3.398,523,1.487,1.8
