Year,Winter,Spring,Summer,Fall
1896,0.51,0.02,0.55,-2.49
1897,0.14,-0.55,-0.46,0.59
1898,0.04,-0.33,0.38,-1.77
1899,-4.28,-1.54,-0.24,1.02
1900,-0.07,0.62,0.7,0.79
1901,-0.24,-0.49,1.22,-0.09
1902,-1.23,0.55,-0.91,0.07
1903,-2.2,-0.26,-1.81,-1.25
1904,-2.34,-0.47,-1.62,0.46
1905,-3.54,0.66,-0.62,-0.27
1906,0.29,-1.45,-0.89,-0.47
1907,1.48,-1.21,-1.73,-0.61
1908,1.16,0.91,-1.14,-0.26
1909,1.32,-1.77,0.1,0.55
1910,-4.06,3.17,-0.23,0.59
1911,0.6,0.82,0.04,-1.54
1912,-2.88,-1.98,-1.71,-0.85
1913,-1.26,-0.84,0.13,-0.08
1914,0.22,0.06,0.31,0.86
1915,-1.84,-1.02,-2.32,0.74
1916,-0.76,-0.35,-0.6,-1.59
1917,-3.13,-3.55,-0.53,-0.87
1918,-3.12,0.94,0.63,-0.68
1919,0.61,-0.16,0.57,-1.04
1920,-1.66,-2.13,-1.17,-0.29
1921,2.57,1.66,0.95,1.27
1922,-0.95,-0.28,0.58,1.17
1923,0.34,-1.68,-0.43,-0.59
1924,0.25,-2.47,-0.55,-0.18
1925,-0.57,2.07,0.39,-1.55
1926,1.26,-0.68,-0.1,-0.38
1927,1.36,0.28,-1.65,1.53
1928,-0.72,-0.02,-1.02,-0.24
1929,-3.51,0.28,-0.16,-1.64
1930,0.3,0.43,0.72,-0.71
1931,1.8,-0.95,1.42,2.48
1932,2.21,-1.1,0.57,-0.96
1933,-1.13,-0.42,1.47,1.6
1934,3.05,2.82,2.13,1.57
1935,1.17,-0.7,0.52,-0.85
1936,-4.45,1.45,2.6,-0.33
1937,-1.88,-0.63,1.28,-0.08
1938,1.38,1.28,0.69,0.78
1939,0.47,1.33,0.73,1.25
1940,-0.43,-0.05,0.56,-0.07
1941,1.7,0.26,-0.12,0.66
1942,0,0.23,-0.18,0.25
1943,0.66,-0.55,0.76,-0.57
1944,0.81,-1.09,-0.32,0.46
1945,-0.08,0.43,-1.08,0.16
1946,-0.45,2.46,-0.29,-0.41
1947,0.89,-0.98,-0.2,0.93
1948,-1.42,-0.15,-0.04,0.07
1949,-2.09,0.6,0.45,0.8
1950,0.85,-1.94,-1.68,0.32
1951,0.35,-1.24,-0.66,-1.49
1952,0.67,-0.94,1.16,-0.63
1953,3.02,-0.36,0.75,1.87
1954,3.1,-0.25,0.77,1.51
1955,-0.79,0.48,0.22,-0.5
1956,-0.57,-0.29,0.3,0.31
1957,1.56,-0.38,0.14,-1.51
1958,1.3,-0.8,-0.12,0.84
1959,-0.83,0.38,0.84,-1.31
1960,-0.26,-1.65,0.33,1.1
1961,0.28,-0.58,0.41,-0.96
1962,-1.24,-0.26,-0.7,0.94
1963,-1.58,1.29,0.02,3.03
1964,-1.83,-0.4,-0.27,-0.28
1965,-0.11,-1.54,-1.23,0.25
1966,-1.07,0.13,-0.11,-0.02
1967,0.66,-0.16,-0.97,-0.38
1968,-0.92,-0.15,-0.75,-0.32
1969,-1.49,-0.9,-0.02,-0.83
1970,-0.25,-1.25,0.63,-0.83
1971,-0.07,-1.53,-0.13,0.12
1972,0.26,0.87,-0.71,-1.66
1973,-1.22,-0.14,0.21,0.92
1974,0.92,1.18,-0.44,-0.69
1975,0.69,-2.29,-0.53,-0.18
1976,2.36,0.15,-0.95,-2.66
1977,-2.22,2.05,0.78,0.71
1978,-3.19,-0.04,0.11,0.36
1979,-5.62,-0.48,-0.76,0.21
1980,1.1,-0.56,1.03,0.16
1981,2.5,1.39,0.56,0.44
1982,-1.41,-0.43,-0.86,-0.74
1983,3.04,-1.8,0.65,0.99
1984,-1.67,-1,0.24,-0.79
1985,-1.66,2.39,-0.34,-1.37
1986,0.88,2.46,0.48,-0.51
1987,2.19,2.1,0.4,0.51
1988,-0.22,0.89,1.71,0.4
1989,0.01,1.08,-0.18,0.23
1990,1.41,1.12,0.52,1.87
1991,1.14,1.69,0.59,-0.52
1992,4.12,1.88,-1.9,-0.46
1993,-1.11,-0.06,-0.98,-1.72
1994,-0.43,1.69,0.86,0.56
1995,3.33,-0.46,0.4,0.18
1996,0.71,-0.7,0.58,-1.3
1997,1.07,-0.26,-0.32,0.19
1998,3.67,0.7,1.15,2.79
1999,4.04,0.55,0.44,2.19
2000,4.25,3,0.92,-0.65
2001,-0.97,1.54,1.27,2.28
2002,3.43,-0.15,1.79,0
2003,1.33,1.14,1.33,1.07
2004,0.84,3.08,-1.02,1.45
2005,3.23,0.46,1.17,2.37
2006,3.26,2.47,2.12,-0.23
2007,1.21,2.59,1.67,2.16
2008,0.5,-0.38,0.59,0.82
2009,1,0.89,-0.38,0.69
2010,-1.53,1.31,1.68,1.43
2011,-0.49,0.47,2.25,1.43
2012,4.11,5.26,2.3,1.19
2013,2.08,-0.44,1.13,0.45
2014,-0.98,0.24,0.31,0.58
2015,2.06,2.24,1.35,3.24
2016,4.55,2.75,2.1,4.05
2017,3.67,2.59,1.29,2.11
2018,1.76,1.51,2.1,0.2
2019,1.07,-0.05,0.96,0.31
2020,3.82,1.7,2.15,1.95
2021,1.39,1.66,2.6,3.08
